word
네
예
응
어
그래
맞아요
그럼요
알겠어요
그렇죠
그렇구나
아
오
음
음음
엥
흠
아하
오호
맞다
헐
여보세요
자
이야
아이고
오케이
좋아요
그렇습니다
아닌가요
네네
예예
응응
그래그래
하하
호호
흐흐
그렇네요
맞네요
아맞다
뭐지
음음음
네에
그치
맞지
오케
아네
오오
아야
예에
