word
도와드리겠습니다
확인해드릴게요
알려드리겠습니다
안내해드릴게요
말씀드릴게요
설명드리겠습니다
드리겠습니다
연결해드리겠습니다
말씀드렸습니다
해드리겠습니다
해드릴게요
확인되었습니다
진행하겠습니다
연결드리겠습니다
도움드리겠습니다
설명드릴게요
말씀드려요
드릴게요
처리해드릴게요
완료되었습니다
안내드렸습니다
알려드렸습니다
등록되었습니다
접수되었습니다
처리되었습니다
요청드리겠습니다
알려드릴 수 있습니다
진행해드릴게요
드릴 수 있습니다
말씀드릴 수 있습니다
안내드릴 수 있습니다
연결되었습니다
진행되고 있습니다
도움드릴 수 있습니다
확인부탁드립니다
이용해주셔서 감사합니다
말씀드린 바와 같이
안내드릴게요
전달드리겠습니다
말씀드리겠습니다
도움드려요
확인부탁드려요
답변드리겠습니다
확인바랍니다
말씀하신 내용 확인했습니다
안내받으셨을 겁니다
확인해드렸습니다
