word
고객님
감사합니다
감사드려요
죄송합니다
안녕하세요
수고하세요
수고하셨습니다
고맙습니다
고맙다
잘 부탁드립니다
부탁드려요
부탁드립니다
감사해요
감사할게요
실례합니다
안녕하십니까
반갑습니다
정중히
양해부탁드립니다
좋은 하루 되세요
실례가 안 된다면
잠시만요
다시 한 번
불편을 드려
죄송하게 되었
항상 감사드립니다
연락주셔서 감사합니다
도와드릴게요
확인해보겠습니다
알려드릴게요
좋은 하루
전화주셔서 감사합니다
문의 주셔서 감사합니다
처리해드리겠습니다
연결해드리겠습니다
계속 수고하세요
편안한 하루 보내세요
곧 연락드리겠습니다
지속적인 관심 감사드립니다
정말 감사합니다
매우 감사합니다
안전한 하루 되세요
도움되셨으면 좋겠습니다
문의사항 있으시면 연락주세요
항상 건강하세요
불편드려 죄송합니다
긴 시간 감사합니다
전화받아주셔서 감사합니다
좋은 결과 있으시길 바랍니다
