word
그래서
그러니까
그런데
그러면
그리고
또한
그러므로
하지만
그래도
그렇지만
그나저나
한편
그러던 중
이후에
다음에
그 결과
그 전에
결국
결론적으로
다시 말해
즉
왜냐하면
따라서
예를 들어
첫째로
둘째로
마지막으로
이와 같이
비슷하게
반대로
더불어
게다가
심지어
또
결과적으로
뿐만 아니라
마찬가지로
이어서
아울러
동시에
이에 따라
이와 달리
종합하면
이렇듯
이렇게
한 마디로
총정리하면
