hint
입니다
예요
이에요
이죠
이잖아요
됩니다
습니다
습니까
셨습니다
세요
시죠
하셨죠
합니까
다
다요
다죠
다네
다잖아
죠
네
네요
주세요
까
까요
겠죠
죠요
할게요
되세요
합니다
할까요
합니다만
안 돼요
잘못
않아요
다시 말해
다시 말하면
그렇다면
그러니까
그러면
하니
했어요
했습니까
하다가
했다
하는
하며
아니면
그게 아니고
하기 때문에
가장
도
예요
이었습니다
였습니다
하는데
였어요
했습니다
하시죠
가요
되었어요
했다고
하지 않아요
아니요
이었어요
겠습니다
했을 때
입니다만
후에
했습니다만
자요
잘하네요
어떤가요
였습니다만
끝났습니다
하고 싶습니다
왔습니다
갔습니다
